,Unnamed: 0,index,hangul_word,english_phrase,does_end_in_hada,hanja_word,hanja_exists,hanja_word_with_hada,num_hangul_words,hangul_syll_chains,hanja_syll_chains,hangul_hanja_subseq_chain,hangul_chain_with_trans,hanja_chain_with_trans
1,3812,이,이,this,False,二,True,二,384,['이'],['二'],"('이', '二')",이 (Tooth),二 (two)
2,3813,이,이,this,False,以,True,以,384,['이'],['以'],"('이', '以')",이 (Tooth),以 (with)
3,3814,이,이,this,False,伊,True,伊,384,['이'],['伊'],"('이', '伊')",이 (Tooth),伊 (Yes.g.)
6,3817,이,이,this,False,佴,True,佴,384,['이'],['佴'],"('이', '佴')",이 (Tooth),佴 (connexion)
13,3824,이,이,this,False,咦,True,咦,384,['이'],['咦'],"('이', '咦')",이 (Tooth),咦 (Why?)
14,3825,이,이,this,False,咿,True,咿,384,['이'],['咿'],"('이', '咿')",이 (Tooth),咿 (make a word)
15,3826,이,이,this,False,圯,True,圯,384,['이'],['圯'],"('이', '圯')",이 (Tooth),圯 (factory)
16,3827,이,이,this,False,坨,True,坨,384,['이'],['坨'],"('이', '坨')",이 (Tooth),坨 (lump)
17,3828,이,이,this,False,夷,True,夷,384,['이'],['夷'],"('이', '夷')",이 (Tooth),夷 (banish)
18,3829,이,이,this,False,姨,True,姨,384,['이'],['姨'],"('이', '姨')",이 (Tooth),姨 (aunt)
22,3833,이,이,this,False,尓,True,尓,384,['이'],['尓'],"('이', '尓')",이 (Tooth),尓 (you)
23,3834,이,이,this,False,尔,True,尔,384,['이'],['尔'],"('이', '尔')",이 (Tooth),尔 (you)
27,3838,이,이,this,False,已,True,已,384,['이'],['已'],"('이', '已')",이 (Tooth),已 (already)
30,3841,이,이,this,False,异,True,异,384,['이'],['异'],"('이', '异')",이 (Tooth),异 (different)
33,3844,이,이,this,False,弛,True,弛,384,['이'],['弛'],"('이', '弛')",이 (Tooth),弛 (loosen)
37,3848,이,이,this,False,彝,True,彝,384,['이'],['彝'],"('이', '彝')",이 (Tooth),彝 (one's wife)
38,3849,이,이,this,False,彞,True,彞,384,['이'],['彞'],"('이', '彞')",이 (Tooth),彞 (one's wife)
39,3850,이,이,this,False,怡,True,怡,384,['이'],['怡'],"('이', '怡')",이 (Tooth),怡 (pleasant)
46,3857,이,이,this,False,枱,True,枱,384,['이'],['枱'],"('이', '枱')",이 (Tooth),枱 (table)
59,3870,이,이,this,False,洱,True,洱,384,['이'],['洱'],"('이', '洱')",이 (Tooth),洱 (er)
62,3873,이,이,this,False,爾,True,爾,384,['이'],['爾'],"('이', '爾')",이 (Tooth),爾 (you)
65,3876,이,이,this,False,珥,True,珥,384,['이'],['珥'],"('이', '珥')",이 (Tooth),珥 (call)
67,3878,이,이,this,False,痍,True,痍,384,['이'],['痍'],"('이', '痍')",이 (Tooth),痍 (break)
68,3879,이,이,this,False,眙,True,眙,384,['이'],['眙'],"('이', '眙')",이 (Tooth),眙 (close)
72,3883,이,이,this,False,移,True,移,384,['이'],['移'],"('이', '移')",이 (Tooth),移 (remove)
79,3890,이,이,this,False,羡,True,羡,384,['이'],['羡'],"('이', '羡')",이 (Tooth),羡 (envy)
80,3891,이,이,this,False,而,True,而,384,['이'],['而'],"('이', '而')",이 (Tooth),而 (while)
81,3892,이,이,this,False,耳,True,耳,384,['이'],['耳'],"('이', '耳')",이 (Tooth),耳 (ear)
83,3894,이,이,this,False,肄,True,肄,384,['이'],['肄'],"('이', '肄')",이 (Tooth),肄 (cuff)
86,3897,이,이,this,False,胰,True,胰,384,['이'],['胰'],"('이', '胰')",이 (Tooth),胰 (pancreas)
88,3899,이,이,this,False,苡,True,苡,384,['이'],['苡'],"('이', '苡')",이 (Tooth),苡 (long ago)
91,3902,이,이,this,False,荑,True,荑,384,['이'],['荑'],"('이', '荑')",이 (Tooth),荑 (cat)
97,3908,이,이,this,False,衪,True,衪,384,['이'],['衪'],"('이', '衪')",이 (Tooth),衪 (he)
98,3909,이,이,this,False,袘,True,袘,384,['이'],['袘'],"('이', '袘')",이 (Tooth),袘 (bank)
103,3914,이,이,this,False,詒,True,詒,384,['이'],['詒'],"('이', '詒')",이 (Tooth),詒 (first)
106,3917,이,이,this,False,诒,True,诒,384,['이'],['诒'],"('이', '诒')",이 (Tooth),诒 (first)
109,3920,이,이,this,False,貳,True,貳,384,['이'],['貳'],"('이', '貳')",이 (Tooth),貳 (two)
110,3921,이,이,this,False,貽,True,貽,384,['이'],['貽'],"('이', '貽')",이 (Tooth),貽 (deliver)
