,Unnamed: 0,index,hangul_word,english_phrase,does_end_in_hada,hanja_word,hanja_exists,hanja_word_with_hada,num_hangul_words,hangul_syll_chains,hanja_syll_chains,hangul_hanja_subseq_chain,hangul_chain_with_trans,hanja_chain_with_trans
4574,5622,편,편하다,comfortable,True,便,True,便하다,53,['편'],['便'],"('편', '便')",편 (Side),便 (be convenience)
4575,5623,편,편하다,comfortable,True,偏,True,偏하다,53,['편'],['偏'],"('편', '偏')",편 (Side),偏 (be partiality)
4576,5624,편,편하다,comfortable,True,匾,True,匾하다,53,['편'],['匾'],"('편', '匾')",편 (Side),匾 (pla)
4581,5629,편,편하다,comfortable,True,扁,True,扁하다,53,['편'],['扁'],"('편', '扁')",편 (Side),扁 (flat)
4585,5633,편,편하다,comfortable,True,煸,True,煸하다,53,['편'],['煸'],"('편', '煸')",편 (Side),煸 (fan)
4586,5634,편,편하다,comfortable,True,片,True,片하다,53,['편'],['片'],"('편', '片')",편 (Side),片 (film)
4588,5636,편,편하다,comfortable,True,犏,True,犏하다,53,['편'],['犏'],"('편', '犏')",편 (Side),犏 (downing)
4590,5638,편,편하다,comfortable,True,碥,True,碥하다,53,['편'],['碥'],"('편', '碥')",편 (Side),碥 (the head)
4592,5640,편,편하다,comfortable,True,篇,True,篇하다,53,['편'],['篇'],"('편', '篇')",편 (Side),篇 (chap)
4593,5641,편,편하다,comfortable,True,編,True,編하다,53,['편'],['編'],"('편', '編')",편 (Side),編 (weave)
4596,5644,편,편하다,comfortable,True,编,True,编하다,53,['편'],['编'],"('편', '编')",편 (Side),编 (weave)
4597,5645,편,편하다,comfortable,True,翩,True,翩하다,53,['편'],['翩'],"('편', '翩')",편 (Side),翩 (light)
4600,5648,편,편하다,comfortable,True,蝙,True,蝙하다,53,['편'],['蝙'],"('편', '蝙')",편 (Side),蝙 (bat)
4601,5649,편,편하다,comfortable,True,褊,True,褊하다,53,['편'],['褊'],"('편', '褊')",편 (Side),褊 (narrow-minded)
4602,5650,편,편하다,comfortable,True,覑,True,覑하다,53,['편'],['覑'],"('편', '覑')",편 (Side),覑 (extend)
4603,5651,편,편하다,comfortable,True,諞,True,諞하다,53,['편'],['諞'],"('편', '諞')",편 (Side),諞 (flatter)
4604,5652,편,편하다,comfortable,True,谝,True,谝하다,53,['편'],['谝'],"('편', '谝')",편 (Side),谝 (flatter)
4606,5654,편,편하다,comfortable,True,蹁,True,蹁하다,53,['편'],['蹁'],"('편', '蹁')",편 (Side),蹁 (whirl)
4607,5655,편,편하다,comfortable,True,遍,True,遍하다,53,['편'],['遍'],"('편', '遍')",편 (Side),遍 (everywhere)
4609,5657,편,편하다,comfortable,True,鞭,True,鞭하다,53,['편'],['鞭'],"('편', '鞭')",편 (Side),鞭 (whip)
4612,5660,편,편하다,comfortable,True,騙,True,騙하다,53,['편'],['騙'],"('편', '騙')",편 (Side),騙 (deceive)
4613,5661,편,편하다,comfortable,True,骗,True,骗하다,53,['편'],['骗'],"('편', '骗')",편 (Side),骗 (deceive)
4616,5664,편,편하다,comfortable,True,鯿,True,鯿하다,53,['편'],['鯿'],"('편', '鯿')",편 (Side),鯿 (go to one's sake)
4617,5665,편,편하다,comfortable,True,鳊,True,鳊하다,53,['편'],['鳊'],"('편', '鳊')",편 (Side),鳊 (go to one's sake)
4783,5207,착,착하다,to be kind,True,凿,True,凿하다,48,['착'],['凿'],"('착', '凿')",착 (Here),凿 (chisel)
4787,5211,착,착하다,to be kind,True,戳,True,戳하다,48,['착'],['戳'],"('착', '戳')",착 (Here),戳 (poke)
4788,5212,착,착하다,to be kind,True,捉,True,捉하다,48,['착'],['捉'],"('착', '捉')",착 (Here),捉 (catch)
4789,5213,착,착하다,to be kind,True,搾,True,搾하다,48,['착'],['搾'],"('착', '搾')",착 (Here),搾 (milk)
4794,5218,착,착하다,to be kind,True,斲,True,斲하다,48,['착'],['斲'],"('착', '斲')",착 (Here),斲 (absorb)
4796,5220,착,착하다,to be kind,True,浞,True,浞하다,48,['착'],['浞'],"('착', '浞')",착 (Here),浞 (be bound together)
4799,5223,착,착하다,to be kind,True,着,True,着하다,48,['착'],['着'],"('착', '着')",착 (Here),着 (catch)
4801,5225,착,착하다,to be kind,True,窄,True,窄하다,48,['착'],['窄'],"('착', '窄')",착 (Here),窄 (narrow)
4802,5226,착,착하다,to be kind,True,笮,True,笮하다,48,['착'],['笮'],"('착', '笮')",착 (Here),笮 (the size of a wave)
4806,5230,착,착하다,to be kind,True,糳,True,糳하다,48,['착'],['糳'],"('착', '糳')",착 (Here),糳 (extraction)
4809,5233,착,착하다,to be kind,True,諑,True,諑하다,48,['착'],['諑'],"('착', '諑')",착 (Here),諑 (fall off)
4810,5234,착,착하다,to be kind,True,诼,True,诼하다,48,['착'],['诼'],"('착', '诼')",착 (Here),诼 (fall off)
4815,5239,착,착하다,to be kind,True,錯,True,錯하다,48,['착'],['錯'],"('착', '錯')",착 (Here),錯 (be wrong)
4817,5241,착,착하다,to be kind,True,鑿,True,鑿하다,48,['착'],['鑿'],"('착', '鑿')",착 (Here),鑿 (chisel)
4818,5242,착,착하다,to be kind,True,错,True,错하다,48,['착'],['错'],"('착', '错')",착 (Here),错 (be wrong)
4819,5243,착,착하다,to be kind,True,齪,True,齪하다,48,['착'],['齪'],"('착', '齪')",착 (Here),齪 (dirty)
4820,5244,착,착하다,to be kind,True,龊,True,龊하다,48,['착'],['龊'],"('착', '龊')",착 (Here),龊 (dirty)
5201,4313,일,일하다,to work,True,一,True,一하다,34,['일'],['一'],"('일', '一')",일 (Work),一 (one)
5202,4314,일,일하다,to work,True,佚,True,佚하다,34,['일'],['佚'],"('일', '佚')",일 (Work),佚 (lose)
5203,4315,일,일하다,to work,True,佾,True,佾하다,34,['일'],['佾'],"('일', '佾')",일 (Work),佾 (the Holy Grail)
5208,4320,일,일하다,to work,True,壹,True,壹하다,34,['일'],['壹'],"('일', '壹')",일 (Work),壹 (one)
5212,4324,일,일하다,to work,True,日,True,日하다,34,['일'],['日'],"('일', '日')",일 (Work),日 (day)
5215,4327,일,일하다,to work,True,溢,True,溢하다,34,['일'],['溢'],"('일', '溢')",일 (Work),溢 (overflow)
5219,4331,일,일하다,to work,True,軼,True,軼하다,34,['일'],['軼'],"('일', '軼')",일 (Work),軼 (excel)
5220,4332,일,일하다,to work,True,轶,True,轶하다,34,['일'],['轶'],"('일', '轶')",일 (Work),轶 (excel)
5222,4334,일,일하다,to work,True,逸,True,逸하다,34,['일'],['逸'],"('일', '逸')",일 (Work),逸 (loose)
5225,4337,일,일하다,to work,True,鎰,True,鎰하다,34,['일'],['鎰'],"('일', '鎰')",일 (Work),鎰 (year)
5226,4338,일,일하다,to work,True,镒,True,镒하다,34,['일'],['镒'],"('일', '镒')",일 (Work),镒 (year)
5548,2481,사전,사전,dictionary,False,事典,True,事典,6,"[['사', '전'], ['사전']]","[['事', '典'], ['事典']]","(['사', '전'], ['事', '典'])",사 (Buy) + 전 (Jeon),事 (event) + 典 (book)
5548,2481,사전,사전,dictionary,False,事典,True,事典,6,"[['사', '전'], ['사전']]","[['事', '典'], ['事典']]","(['사전'], ['事典'])",사전 (Dictionary),事典 (a book of events)
5549,2482,사전,사전,dictionary,False,事前,True,事前,6,"[['사', '전'], ['사전']]","[['事', '前'], ['事前']]","(['사', '전'], ['事', '前'])",사 (Buy) + 전 (Jeon),事 (event) + 前 (background)
