,hangul_word,hangeul_english_translation,does_end_in_hada,hangul_word_wo_hada,hanja_word,hanja_exists,Unnamed: 0,hanja_english_translation
0,가게,store / shop,False,가게,,False,,
1,가다,to go,False,가다,,False,,
2,가르치다,to teach,False,가르치다,,False,,
3,가방,bag,False,가방,街坊,True,269.0,neighborhood
4,가족,family,False,가족,家族,True,202.0,family
5,간호사,nurse,False,간호사,看護師,True,408.0,nurse
6,갈색,brown,False,갈색,褐色,True,416.0,brownish
7,갈아타다,to transfer,False,갈아타다,,False,,
8,감기,cold,False,감기,感氣,True,318.0,be moved by
9,같이,together,False,같이,,False,,
10,개,counting unit for general items,False,개,丐,True,2735.0,beg
10,개,counting unit for general items,False,개,个,True,2087.0,individual
10,개,counting unit for general items,False,개,丯,True,,
10,개,counting unit for general items,False,개,乢,True,,
10,개,counting unit for general items,False,개,介,True,3063.0,absorb
10,개,counting unit for general items,False,개,价,True,3069.0,price
10,개,counting unit for general items,False,개,個,True,4768.0,individual
10,개,counting unit for general items,False,개,凯,True,3809.0,"- Hey, sir."
10,개,counting unit for general items,False,개,凱,True,444.0,"- Hey, sir."
10,개,counting unit for general items,False,개,剀,True,1191.0,be sincere
10,개,counting unit for general items,False,개,剴,True,3163.0,be sincere
10,개,counting unit for general items,False,개,勓,True,,
10,개,counting unit for general items,False,개,匃,True,,
10,개,counting unit for general items,False,개,匄,True,,
10,개,counting unit for general items,False,개,吤,True,,
10,개,counting unit for general items,False,개,喈,True,3893.0,chime
10,개,counting unit for general items,False,개,嗰,True,,
10,개,counting unit for general items,False,개,嘅,True,1357.0,Yes.
10,개,counting unit for general items,False,개,垲,True,,
10,개,counting unit for general items,False,개,塏,True,,
10,개,counting unit for general items,False,개,奒,True,,
10,개,counting unit for general items,False,개,媘,True,,
10,개,counting unit for general items,False,개,尬,True,4131.0,"Oh, shit."
10,개,counting unit for general items,False,개,岕,True,,
10,개,counting unit for general items,False,개,幆,True,,
10,개,counting unit for general items,False,개,庎,True,,
10,개,counting unit for general items,False,개,开,True,4119.0,open
10,개,counting unit for general items,False,개,忋,True,,
10,개,counting unit for general items,False,개,忦,True,,
10,개,counting unit for general items,False,개,恺,True,914.0,pleasant
10,개,counting unit for general items,False,개,愷,True,2338.0,pleasant
10,개,counting unit for general items,False,개,愾,True,4.0,harden
10,개,counting unit for general items,False,개,慨,True,4189.0,feel sorry
10,개,counting unit for general items,False,개,戤,True,,
10,개,counting unit for general items,False,개,揩,True,2576.0,wipe off
10,개,counting unit for general items,False,개,摡,True,,
10,개,counting unit for general items,False,개,改,True,323.0,alter
10,개,counting unit for general items,False,개,斺,True,,
10,개,counting unit for general items,False,개,暟,True,,
10,개,counting unit for general items,False,개,概,True,2932.0,rough
10,개,counting unit for general items,False,개,槩,True,,
10,개,counting unit for general items,False,개,槪,True,3488.0,open
10,개,counting unit for general items,False,개,湝,True,,
10,개,counting unit for general items,False,개,溉,True,2098.0,irrigate
10,개,counting unit for general items,False,개,漑,True,,
10,개,counting unit for general items,False,개,炌,True,,
10,개,counting unit for general items,False,개,炏,True,,
10,개,counting unit for general items,False,개,烗,True,,
10,개,counting unit for general items,False,개,煯,True,,
10,개,counting unit for general items,False,개,犗,True,,
10,개,counting unit for general items,False,개,玠,True,,
10,개,counting unit for general items,False,개,琾,True,,
10,개,counting unit for general items,False,개,瓂,True,,
10,개,counting unit for general items,False,개,疥,True,2267.0,scabies
10,개,counting unit for general items,False,개,皆,True,665.0,all
10,개,counting unit for general items,False,개,盖,True,1623.0,cover
10,개,counting unit for general items,False,개,砎,True,,
10,개,counting unit for general items,False,개,磕,True,2282.0,bump
10,개,counting unit for general items,False,개,礚,True,,
10,개,counting unit for general items,False,개,祄,True,,
10,개,counting unit for general items,False,개,祴,True,,
10,개,counting unit for general items,False,개,稭,True,,
10,개,counting unit for general items,False,개,箇,True,4572.0,individual
10,개,counting unit for general items,False,개,絠,True,,
10,개,counting unit for general items,False,개,腉,True,,
10,개,counting unit for general items,False,개,芥,True,4411.0,mustard
10,개,counting unit for general items,False,개,葢,True,,
10,개,counting unit for general items,False,개,蒈,True,,
10,개,counting unit for general items,False,개,蓋,True,4066.0,cover
10,개,counting unit for general items,False,개,蚧,True,1384.0,scale
10,개,counting unit for general items,False,개,蝔,True,,
10,개,counting unit for general items,False,개,衸,True,,
10,개,counting unit for general items,False,개,郂,True,,
10,개,counting unit for general items,False,개,鈣,True,4604.0,calcium
10,개,counting unit for general items,False,개,鍇,True,2698.0,body
10,개,counting unit for general items,False,개,鎎,True,,
10,개,counting unit for general items,False,개,鎧,True,626.0,armour
10,개,counting unit for general items,False,개,鐦,True,1791.0,californium; californium
10,개,counting unit for general items,False,개,钙,True,1956.0,calcium
10,개,counting unit for general items,False,개,铠,True,2199.0,armour
10,개,counting unit for general items,False,개,锎,True,2813.0,californium; californium
10,개,counting unit for general items,False,개,锴,True,4713.0,body
10,개,counting unit for general items,False,개,開,True,3377.0,open
10,개,counting unit for general items,False,개,闓,True,50.0,open
10,개,counting unit for general items,False,개,闿,True,4083.0,open
10,개,counting unit for general items,False,개,阣,True,,
10,개,counting unit for general items,False,개,颽,True,,
10,개,counting unit for general items,False,개,魀,True,,
10,개,counting unit for general items,False,개,魪,True,,
10,개,counting unit for general items,False,개,鶛,True,,
10,개,counting unit for general items,False,개,㑘,True,,
10,개,counting unit for general items,False,개,㕢,True,,
10,개,counting unit for general items,False,개,㝏,True,,
10,개,counting unit for general items,False,개,㠹,True,,
10,개,counting unit for general items,False,개,㨟,True,,
10,개,counting unit for general items,False,개,㪡,True,,
10,개,counting unit for general items,False,개,㮣,True,,
10,개,counting unit for general items,False,개,㯼,True,,
10,개,counting unit for general items,False,개,㱾,True,,
10,개,counting unit for general items,False,개,㿍,True,,
10,개,counting unit for general items,False,개,䁗,True,,
10,개,counting unit for general items,False,개,䃈,True,,
10,개,counting unit for general items,False,개,䇒,True,,
10,개,counting unit for general items,False,개,䏗,True,,
10,개,counting unit for general items,False,개,䐩,True,,
10,개,counting unit for general items,False,개,䐴,True,,
10,개,counting unit for general items,False,개,䒓,True,,
10,개,counting unit for general items,False,개,䡷,True,,
10,개,counting unit for general items,False,개,䤤,True,,
10,개,counting unit for general items,False,개,䪱,True,,
10,개,counting unit for general items,False,개,䯰,True,,
10,개,counting unit for general items,False,개,䰺,True,,
10,개,counting unit for general items,False,개,䱄,True,,
10,개,counting unit for general items,False,개,䲸,True,,
11,걱정,worry / concern,False,걱정,,False,,
12,건강,health,False,건강,健康,True,490.0,health
13,걷다,to walk,False,걷다,,False,,
14,걸리다,to take (time),False,걸리다,,False,,
15,결혼,marriage,False,결혼,結婚,True,395.0,get married
16,결혼하다,to marry,True,결혼,結婚,True,395.0,get married
17,계시다,to be/to stay (honorific),False,계시다,,False,,
18,고기,meat,False,고기,,False,,
19,고등학생,high school student,False,고등학생,高等學生,True,487.0,a college student
20,고민,agony / worry,False,고민,苦悶,True,418.0,anguish
21,공,zero,False,공,供,True,4788.0,offer
21,공,zero,False,공,倥,True,3257.0,busy
21,공,zero,False,공,公,True,246.0,public
21,공,zero,False,공,共,True,355.0,altogether
21,공,zero,False,공,功,True,1604.0,achievement
21,공,zero,False,공,卭,True,,
21,공,zero,False,공,埪,True,,
21,공,zero,False,공,塨,True,,
21,공,zero,False,공,孔,True,27.0,a hole
21,공,zero,False,공,崆,True,4512.0,not carefree
21,공,zero,False,공,工,True,208.0,engineer
21,공,zero,False,공,巩,True,2364.0,firm
21,공,zero,False,공,幊,True,,
21,공,zero,False,공,廾,True,2769.0,Solomon's work.
21,공,zero,False,공,恐,True,1725.0,fear
21,공,zero,False,공,恭,True,1159.0,polite
21,공,zero,False,공,悾,True,,
21,공,zero,False,공,愩,True,,
21,공,zero,False,공,慐,True,,
21,공,zero,False,공,拱,True,106.0,arch
21,공,zero,False,공,拲,True,,
21,공,zero,False,공,控,True,1459.0,control
21,공,zero,False,공,攻,True,1734.0,attack
21,공,zero,False,공,栱,True,,
21,공,zero,False,공,桏,True,,
21,공,zero,False,공,槓,True,4709.0,stick
21,공,zero,False,공,涳,True,,
21,공,zero,False,공,灨,True,,
21,공,zero,False,공,熕,True,,
21,공,zero,False,공,珙,True,2890.0,electricity
21,공,zero,False,공,疘,True,,
21,공,zero,False,공,硿,True,,
21,공,zero,False,공,碽,True,,
21,공,zero,False,공,空,True,412.0,empty
21,공,zero,False,공,笻,True,,
21,공,zero,False,공,筇,True,4703.0,still
21,공,zero,False,공,箜,True,1361.0,cuff
21,공,zero,False,공,篢,True,,
21,공,zero,False,공,糼,True,,
21,공,zero,False,공,糿,True,,
21,공,zero,False,공,羾,True,,
21,공,zero,False,공,舼,True,,
21,공,zero,False,공,蒆,True,,
21,공,zero,False,공,蚣,True,4602.0,a long way off the hook
21,공,zero,False,공,蛩,True,2980.0,crumble
21,공,zero,False,공,蛬,True,,
21,공,zero,False,공,貢,True,945.0,pay tribute
21,공,zero,False,공,贛,True,4067.0,go deep
21,공,zero,False,공,贡,True,591.0,pay tribute
21,공,zero,False,공,赣,True,4509.0,go deep
21,공,zero,False,공,跫,True,4259.0,footstep
21,공,zero,False,공,躻,True,,
21,공,zero,False,공,輁,True,,
21,공,zero,False,공,邛,True,119.0,bear
21,공,zero,False,공,釭,True,,
21,공,zero,False,공,銎,True,1316.0,a rosette; a rosette.
21,공,zero,False,공,鞏,True,4293.0,firm
21,공,zero,False,공,鞚,True,,
21,공,zero,False,공,髸,True,,
21,공,zero,False,공,鵼,True,,
21,공,zero,False,공,龏,True,,
21,공,zero,False,공,龔,True,780.0,public service
21,공,zero,False,공,龚,True,4606.0,public service
21,공,zero,False,공,㒶,True,,
21,공,zero,False,공,㓋,True,,
21,공,zero,False,공,㓚,True,,
21,공,zero,False,공,㓛,True,,
21,공,zero,False,공,㕬,True,,
21,공,zero,False,공,㣉,True,,
21,공,zero,False,공,㤟,True,,
21,공,zero,False,공,㤨,True,,
21,공,zero,False,공,㧬,True,,
21,공,zero,False,공,㧭,True,,
21,공,zero,False,공,㫒,True,,
21,공,zero,False,공,㭟,True,,
21,공,zero,False,공,㮪,True,,
21,공,zero,False,공,㯯,True,,
21,공,zero,False,공,㲁,True,,
21,공,zero,False,공,㳟,True,,
21,공,zero,False,공,㸜,True,,
21,공,zero,False,공,㺬,True,,
21,공,zero,False,공,㼦,True,,
21,공,zero,False,공,䂬,True,,
21,공,zero,False,공,䂵,True,,
21,공,zero,False,공,䅃,True,,
21,공,zero,False,공,䅝,True,,
21,공,zero,False,공,䇨,True,,
21,공,zero,False,공,䊄,True,,
21,공,zero,False,공,䔈,True,,
21,공,zero,False,공,䜤,True,,
21,공,zero,False,공,䡗,True,,
21,공,zero,False,공,䢼,True,,
21,공,zero,False,공,䣏,True,,
21,공,zero,False,공,䰸,True,,
21,공,zero,False,공,䱋,True,,
21,공,zero,False,공,䲲,True,,
21,공,zero,False,공,䳍,True,,
22,공부,study / learning,False,공부,工夫,True,131.0,effort
22,공부,study / learning,False,공부,貢賦,True,1244.0,gift
23,공부하다,to study,True,공부,工夫,True,131.0,effort
23,공부하다,to study,True,공부,貢賦,True,1244.0,gift
24,공원,park,False,공원,公園,True,403.0,park
24,공원,park,False,공원,工員,True,465.0,crew
25,공책,notebook,False,공책,空冊,True,272.0,an empty book
26,공항,airport,False,공항,空港,True,233.0,an air port
27,과일,fruit,False,과일,,False,,
28,괜찮다,alright,False,괜찮다,,False,,
29,교실,classroom,False,교실,敎室,True,263.0,classroom
30,구,nine,False,구,丘,True,2476.0,hill
30,구,nine,False,구,丠,True,,
30,구,nine,False,구,丩,True,,
30,구,nine,False,구,久,True,4174.0,for a time
30,구,nine,False,구,乆,True,,
30,구,nine,False,구,九,True,452.0,nine
30,구,nine,False,구,亀,True,,
30,구,nine,False,구,仇,True,4237.0,grudge
30,구,nine,False,구,伛,True,2534.0,slouch
30,구,nine,False,구,佉,True,,
30,구,nine,False,구,佝,True,1374.0,crouch
30,구,nine,False,구,俅,True,2628.0,ensign
30,구,nine,False,구,俱,True,3201.0,everything
30,구,nine,False,구,倃,True,,
30,구,nine,False,구,倶,True,,
30,구,nine,False,구,傴,True,2796.0,slouch
30,구,nine,False,구,具,True,941.0,set afoot
30,구,nine,False,구,冓,True,,
30,구,nine,False,구,冦,True,,
30,구,nine,False,구,剾,True,,
30,구,nine,False,구,劬,True,4396.0,give birth to
30,구,nine,False,구,劶,True,,
30,구,nine,False,구,勼,True,,
30,구,nine,False,구,勾,True,4456.0,catch
30,구,nine,False,구,匓,True,,
30,구,nine,False,구,匛,True,,
30,구,nine,False,구,匶,True,,
30,구,nine,False,구,区,True,3128.0,block
30,구,nine,False,구,區,True,2867.0,block
30,구,nine,False,구,厩,True,3869.0,stable
30,구,nine,False,구,厹,True,,
30,구,nine,False,구,口,True,301.0,mouth
30,구,nine,False,구,句,True,3337.0,sentence
30,구,nine,False,구,叴,True,,
30,구,nine,False,구,呕,True,4269.0,"Oh, my God."
30,구,nine,False,구,呴,True,,
30,구,nine,False,구,咎,True,4622.0,blame
30,구,nine,False,구,嘔,True,4257.0,"Oh, my God."
30,구,nine,False,구,坵,True,3453.0,mounds
30,구,nine,False,구,坸,True,,
30,구,nine,False,구,垢,True,1823.0,dirt
30,구,nine,False,구,埧,True,,
30,구,nine,False,구,够,True,2057.0,enough
30,구,nine,False,구,夠,True,515.0,enough
30,구,nine,False,구,奺,True,,
30,구,nine,False,구,妪,True,784.0,woman
30,구,nine,False,구,姤,True,,
30,구,nine,False,구,媾,True,2040.0,coax
30,구,nine,False,구,嫗,True,1182.0,woman
30,구,nine,False,구,宼,True,,
30,구,nine,False,구,寇,True,839.0,rebel
30,구,nine,False,구,寠,True,,
30,구,nine,False,구,屦,True,2255.0,return
30,구,nine,False,구,屨,True,460.0,return
30,구,nine,False,구,岖,True,39.0,rugged
30,구,nine,False,구,岣,True,433.0,Gosausee; Gosausee; Gosausee; Gosausee
30,구,nine,False,구,岴,True,,
30,구,nine,False,구,嶇,True,4001.0,rugged
30,구,nine,False,구,巯,True,2381.0,mercapto
30,구,nine,False,구,巰,True,2054.0,mercapto
30,구,nine,False,구,廄,True,737.0,stable
30,구,nine,False,구,廏,True,,
30,구,nine,False,구,廐,True,,
30,구,nine,False,구,彀,True,1850.0,barely
30,구,nine,False,구,彄,True,,
30,구,nine,False,구,忂,True,,
30,구,nine,False,구,怐,True,,
30,구,nine,False,구,惧,True,3889.0,fear
30,구,nine,False,구,愳,True,,
30,구,nine,False,구,慦,True,,
30,구,nine,False,구,懼,True,196.0,fear
30,구,nine,False,구,戵,True,,
30,구,nine,False,구,扏,True,,
30,구,nine,False,구,扣,True,3000.0,cuff
30,구,nine,False,구,抅,True,,
30,구,nine,False,구,抠,True,850.0,dig
