,index,hangul_word,english_phrase,does_end_in_hada,hanja_word,hanja_exists,hanja_word_with_hada
1, 들, 들,plural marker,False,,False,
2,가게,가게,store / shop,False,,False,
3,가다,가다,to go,False,,False,
4,가르치다,가르치다,to teach,False,,False,
5,가방,가방,bag,False,街坊,True,街坊
6,가족,가족,family,False,家族,True,家族
7,간호사,간호사,nurse,False,看護師,True,看護師
8,갈색,갈색,brown,False,褐色,True,褐色
9,갈아타다,갈아타다,to transfer,False,,False,
10,감기,감기,cold,False,感氣,True,感氣
11,같이,같이,together,False,,False,
12,개,개,counting unit for general items,False,,False,
13,걱정,걱정,worry / concern,False,,False,
14,건강,건강,health,False,健康,True,健康
15,걷다,걷다,to walk,False,,False,
16,걸리다,걸리다,to take (time),False,,False,
17,결혼,결혼,marriage,False,結婚,True,結婚
18,결혼,결혼하다,to marry,True,結婚,True,結婚하다
19,계시다,계시다,to be/to stay (honorific),False,,False,
20,고기,고기,meat,False,,False,
21,고등학생,고등학생,high school student,False,高等學生,True,高等學生
22,고민,고민,agony / worry,False,苦悶,True,苦悶
23,공,공,zero,False,,False,
24,공부,공부,study / learning,False,工夫,True,工夫
25,공부,공부,study / learning,False,貢賦,True,貢賦
26,공부,공부하다,to study,True,工夫,True,工夫하다
27,공부,공부하다,to study,True,貢賦,True,貢賦하다
28,공원,공원,park,False,公園,True,公園
29,공원,공원,park,False,工員,True,工員
30,공책,공책,notebook,False,空冊,True,空冊
31,공항,공항,airport,False,空港,True,空港
32,과일,과일,fruit,False,,False,
33,괜찮다,괜찮다,alright,False,,False,
34,교실,교실,classroom,False,敎室,True,敎室
35,구,구,nine,False,,False,
36,구두,구두,dress shoes,False,口頭,True,口頭
37,구월,구월,September,False,九月,True,九月
38,국적,국적,nationality,False,國籍,True,國籍
39,귀,귀,ear,False,,False,
40,그,그,that,False,,False,
41,그거,그거,that (one),False,,False,
42,그래서,그래서,so,False,,False,
43,그런데,그런데,but/ by the way,False,,False,
44,그럼,그럼,then / in that case,False,,False,
45,그렇지만,그렇지만,but,False,,False,
46,그리고,그리고,and,False,,False,
47,그리다,그리다,to draw to paint,False,,False,
48,그림,그림,picture / drawing,False,,False,
49,그분,그분,that person (honorific),False,,False,
50,극장,극장,movie theater,False,劇場,True,劇場
51,금요일,금요일,Friday,False,金曜日,True,金曜日
52,기다리다,기다리다,to wait,False,,False,
53,기분,기분,feeling,False,氣分,True,氣分
54,기숙사,기숙사,dormitory,False,寄宿舍,True,寄宿舍
55,기자,기자,reporter,False,記者,True,記者
56,기차,기차,train,False,汽車,True,汽車
57,기차표,기차표,train ticket,False,,False,
58,기침,기침,cough,False,,False,
59,기타,기타,guitar,False,其他,True,其他
60,길,길,road / way,False,,False,
61,길다,길다,long,False,,False,
62,김밥,김밥,gimbap,False,,False,
63,김치,김치,kimchi,False,,False,
64,까만색,까만색,black,False,,False,
65,깎다,깎다,to discount,False,,False,
66,꽃,꽃,flower,False,,False,
67,끝나다,끝나다,to be finished,False,,False,
68,끝내다,끝내다,to finish,False,,False,
69,나다,나다,to have (a fever/a runny nose),False,,False,
70,나쁘다,나쁘다,bad,False,,False,
71,나중에,나중에,"later, next time",False,,False,
72,날씨,날씨,weather,False,,False,
73,남동생,남동생,younger brother,False,,False,
74,남자,남자,man male,False,男子,True,男子
75,남편,남편,husband,False,男便,True,男便
76,낮다,낮다,low,False,,False,
77,내,내,my,False,,False,
78,내다,내다,to pay,False,,False,
79,내리다,내리다,to get off,False,,False,
